,name,product_category,new_price,old_price,discount,rating,votes
0,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,Health & Beauty,1400.0,1750.0,0.2,4.3,1513.0
1,Garnier Even & Matte  Vitamin C Booster Serum 15ml,Health & Beauty,850.0,289.0,0.34,4.2,778.0
2,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,Health & Beauty,1036.0,1295.0,0.2,4.4,4792.0
3,Garnier Even & Matte  Vitamin C Booster Serum 30ml.,Health & Beauty,1400.0,1750.0,0.2,4.4,3826.0
4,Garnier Bye Acne & Dark Spots Kit.,Health & Beauty,3608.0,4245.0,0.15,4.3,698.0
5,Garnier Brightening Night Serum With 10% Pure Vitamin C,Health & Beauty,2495.0,848.3000000000001,0.34,5.0,10.0
6,Garnier Even & Matte Dark Spot Corrector,Health & Beauty,1050.0,357.0,0.34,4.0,2751.0
7,L'Oreal GLYCOLIC BRIGHT FACE CLEANSER FOAM 100ML,Health & Beauty,649.0,850.0,0.24,4.8,47.0
8,Garnier Vitamin C Booster Serum 30ml Twin Pack,Health & Beauty,2975.0,3500.0,0.15,4.6,489.0
9,Garnier AHA+BHA Charcoal Serum + Pure Active 3-in-1 Charcoal Mask,Health & Beauty,2588.0,3045.0,0.15,4.4,480.0
10,Red Berry RSF810 Insulated Double Wall Vacuum Bottle â€“ 700ml - Black,Garden & Outdoors,792.0,269.28000000000003,0.34,4.15,40.7
11,Maybelline Lasting Fix Setting Spray,Health & Beauty,1785.0,2100.0,0.15,4.5,1558.0
12,Boma SANDWICH TOASTER BM-722,Home & Office,1584.0,538.5600000000001,0.34,5.0,1.0
13,Maybelline Fit Me Mattifying Primer Matte And Poreless,Health & Beauty,1400.0,476.00000000000006,0.34,4.6,407.0
14,Campo Viejo Campo Viejo Reserva Red Wine - 750 ML,Food & Drinks,1599.0,2066.0,0.23,4.7,9.0
15,L'Oreal GLYCOLIC BRIGHT INSTANT GLOWING SERUM 30ML,Health & Beauty,1840.0,2300.0,0.2,4.9,32.0
16,Chivas Chivas Regal Whisky 18 Years - 750ml,Health & Beauty,8264.0,8934.0,0.07,4.15,40.7
17,Huggies Unisex Pants Gold Size 3 Count 36,Baby Products,859.0,1935.0,0.56,5.0,1.0
18,Garnier Even & Matte Oily Skin Face Moisturizer,Health & Beauty,1050.0,357.0,0.34,4.0,1133.0
19,Red Berry RSF1001- Insulated Double Wall Vacuum Flask - 1L - Red.,Home & Office,1020.0,346.8,0.34,4.15,40.7
